Plot_ID,Date,stage,B2,B3,B4,RE1,RE2,RE3,NIR,RE4,SWIR1,SWIR2,VV,VH
28,09-04-2018,LRS,0.1106969,0.1013975,0.0689989,0.1029719,0.278957,0.4095317,0.3908646,0.454511,0.1811264,0.0784517,-11.367,-16.794
7,09-04-2018,LRS,0.1220247,0.1183793,0.1005731,0.140954,0.2427241,0.294999,0.2825182,0.329004,0.1996995,0.1152891,-10.879,-16.495
36,23-02-2018,MVS,0.1173551,0.1055717,0.0753553,0.1069637,0.2567869,0.3485176,0.3453645,0.3737148,0.1910697,0.0943065,-9.512,-16.18
81,14-01-2019,EVS,0.1376343,0.1220351,0.1093061,0.1179291,0.1344662,0.145509,0.1274094,0.1368505,0.0607296,0.0355874,-11.173,-27.414
2,04-05-2019,MS,0.1516824,0.159006,0.1929622,0.2296652,0.2809545,0.3222734,0.3171543,0.3640924,0.4002909,0.2660795,-10.508,-19.156
99,05-03-2019,LVS,0.1010434,0.0895896,0.060769,0.087813,0.2625984,0.3926676,0.3738554,0.421878,0.1630609,0.0738235,-12.75,-17.544
4,04-05-2019,MS,0.162667,0.1750271,0.2267838,0.2550414,0.2955841,0.334366,0.3317217,0.3817429,0.4365328,0.2934445,-11.326,-19.91
31,05-03-2019,LVS,0.0989925,0.083955,0.0548505,0.0774728,0.2621588,0.4281408,0.4089208,0.4604463,0.1704648,0.0725762,-16.804,-22.48
44,25-03-2018,ERS,0.1347732,0.1141498,0.0879726,0.0995334,0.2210501,0.3477511,0.3348465,0.3843528,0.1484251,0.062893,-17.062,-19.436
76,24-01-2019,EVS,0.1826726,0.1748322,0.1509312,0.1857647,0.244713,0.2677432,0.2498055,0.2809434,0.1674331,0.0959885,-12.837,-25.929
17,14-01-2018,EVS,0.1371897,0.117568,0.1002217,0.1102207,0.1303565,0.1454164,0.1285018,0.1444601,0.057684,0.0312788,-11.422,-24.237
4,14-04-2019,LRS,0.1186159,0.1163187,0.0902191,0.1345315,0.2674636,0.3360847,0.319312,0.3748701,0.1859078,0.0919317,-9.938,-16.903
58,14-04-2019,LRS,0.1161052,0.111995,0.0820216,0.12479,0.2870693,0.3814106,0.3731065,0.4236999,0.201562,0.1011105,-12.921,-18.141
33,14-04-2019,LRS,0.1168534,0.1123771,0.0852313,0.1258083,0.2843152,0.3731644,0.3579627,0.4129513,0.2178618,0.1087192,-10.303,-19.479
19,24-04-2019,MS,0.1166265,0.1158407,0.1037488,0.1446383,0.2485407,0.2981353,0.2890938,0.3311017,0.2313135,0.131327,-11.969,-17.366
31,24-01-2019,EVS,0.1653068,0.1469469,0.1214863,0.1420563,0.1804566,0.195949,0.1760321,0.1951962,0.0829637,0.0467294,-13.547,-25.698
36,09-04-2018,LRS,0.1115379,0.1017364,0.0733316,0.1047095,0.2519974,0.3631721,0.354202,0.4011706,0.1750377,0.0843213,-11.673,-18.031
17,05-03-2018,LVS,0.1170326,0.1025044,0.0776899,0.1006788,0.2294762,0.3331301,0.3229726,0.360286,0.1632905,0.0774789,-14.81,-17.469
3,23-02-2018,MVS,0.1176148,0.1037909,0.0744597,0.0991255,0.2344575,0.3247477,0.3110453,0.3471786,0.156325,0.0721096,-13.663,-18.01
51,30-03-2019,ERS,0.1228641,0.1116011,0.0821133,0.1094272,0.2385531,0.3370622,0.320697,0.3731738,0.1462992,0.0665026,-9.876,-13.288
20,05-03-2018,LVS,0.113922,0.0996683,0.0703333,0.0943802,0.2555677,0.3859362,0.3776157,0.4181121,0.1742217,0.0764415,-13.507,-19.665
18,05-03-2018,LVS,0.1165809,0.1015705,0.078171,0.0996809,0.2226317,0.3139041,0.3118118,0.3453558,0.1573795,0.076239,-13.645,-16.323
